tower_type,faa_study_number,registration_number,latitude,longitude,status_code,date_constructed,structure_street_address,structure_city,structure_state_code,height_of_structure,ground_elevation,overall_height_above_ground,overall_height_amsl,structure_type,owner_entity_name,owner_licensee_id,owner_first_name,owner_last_name,owner_phone,owner_internet_address,owner_street_address,owner_po_box,owner_city,owner_state,owner_zip_code,owner_attention,rep_entity_name,rep_licensee_id,rep_first_name,rep_last_name,rep_phone,rep_internet_address,rep_street_address,rep_po_box,rep_city,rep_state,rep_zip_code,rep_attention,hist1_purpose,hist1_status,hist1_date,hist1_addnl,hist2_purpose,hist2_status,hist2_date,hist2_addnl,hist3_purpose,hist3_status,hist3_date,hist3_addnl
Registered,2011-AGL-5-OE,1268889,42.7432777777778,-84.5085555555555,Constructed,03/11/2009,919 Clippert St MI12913-A,Lansing,MI,100.0705,860.9344,103.0234,963.9578,Tower,SBA Towers III LLC,L01590937,,,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,Edward G. Roach,SBA Towers III LLC,,Edward,Roach,5619957670,ERoach@sbasite.com,8051 Congress Avenue,,Boca Raton,FL,33487    ,,Constructed,Granted,01/27/2012,NA,Modification,Granted,01/27/2012,NA,Owner Change,Granted,12/21/2010,Owner SBA Towers III LLC / Assignor SBA Towers III LLC / Rep SBA Towers III LLC / 
Non-Registered,96-AGL-2075-OE,NA,42.7458611111111,-84.4546944444445,NA,NA,NA,EAST LANSING,,51.5,258.2,NA,309.7,NA,CENTURY CELLUNET,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,07/11/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,1997-AGL-152-OE,NA,42.7203055555556,-84.5191388888889,NA,NA,NA,LANSING,,99.4,253.9,NA,353.3,NA,NEW TOWER INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,02/19/1997,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,98-AGL-1260-OE,NA,42.7491944444444,-84.5133055555556,NA,NA,NA,LANSING,,61,263,NA,324,NA,NEXTEL COMM,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/27/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,99-AGL-0256-OE,NA,42.7658611111111,-84.5060833333333,NA,NA,NA,LANSING,,39.6,257.9,NA,297.5,NA,OMNIPOINT COMMUNICATIONS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/25/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,96-AGL-0572-OE,NA,42.7733611111111,-84.4838611111111,NA,NA,NA,EAST LANSING,,7.6,257.6,NA,265.2,NA,ADAMS OUTDOOR ADVERTISING,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/28/1996,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,98-AGL-4379-OE,NA,42.7355833333333,-84.4799722222222,NA,NA,NA,EAST LANSING,,36.6,287.7,NA,324.3,NA,CENTURYTEL INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/09/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,95-AGL-2343-OE,NA,42.73725,-84.4835833333333,NA,NA,NA,EAST LANSING,,47.2,261.9,NA,309.1,NA,LANSING CELLULAR TELEPHONE COMPANY,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,06/12/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,1996-AGL-720-OE,NA,42.7261111111111,-84.4947222222222,NA,NA,NA,EAST LANSING,,73.2,257.6,NA,330.7,NA,MICHIGAN STATE POLICE COMM DIV,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,02/06/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,95-AGL-1565-OE,NA,42.7266944444444,-84.4958055555556,NA,NA,NA,EAST LANSING,,64,260.9,NA,324.9,NA,MICHIGAN STATE POLICE,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/24/1995,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,98-AGL-3601-OE,NA,42.7428055555556,-84.48025,NA,NA,NA,EAST LANSING,,60.7,262.7,NA,323.4,NA,NEXTEL COMMUNICATIONS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,09/13/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,99-AGL-1167-OE,NA,42.7303055555556,-84.5055277777778,NA,NA,NA,LANSING,,60.7,251.8,NA,312.4,NA,SBA TOWERS INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,03/26/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2016-AGL-2580-NRA,NA,42.73425,-84.5056111111111,NA,NA,NA,LANSING,,33.5,253.6,NA,287.1,NA,ANIKA SCOTT NBA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,05/09/2016,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2011-AGL-1745-OE,NA,42.7397777777778,-84.5080555555556,NA,NA,NA,LANSING,,60.7,256.3,NA,317,NA,CROWN CASTLE USA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,02/28/2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,98-AGL-5977-OE,NA,42.7228055555556,-84.4510833333333,NA,NA,NA,OKEMOS,,39.6,258.5,NA,298.1,NA,CENTURYTEL INC,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,12/31/1998,NA,NA,NA,NA,NA,NA,NA,NA,NA
Non-Registered,2001-AGL-5881-OE,NA,42.7069722222222,-84.50775,NA,NA,NA,EAST LANSING,,51.5,260.3,NA,311.8,NA,CRICKET COMMUNICATIONS,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAA Filing,Issued,11/29/2001,NA,NA,NA,NA,NA,NA,NA,NA,NA
